matchup,game_index,red_agent,black_agent,winner,reason,plies,elapsed_ms
easy_vs_random,1,EasyAgent,RandomAgent,draw,max_turns_reached,140,950
random_vs_easy,1,RandomAgent,EasyAgent,draw,max_turns_reached,140,813
easy_vs_random,2,EasyAgent,RandomAgent,draw,max_turns_reached,140,780
random_vs_easy,2,RandomAgent,EasyAgent,draw,max_turns_reached,140,858
easy_vs_random,3,EasyAgent,RandomAgent,draw,max_turns_reached,140,985
random_vs_easy,3,RandomAgent,EasyAgent,draw,max_turns_reached,140,955
medium_vs_random,1,MediumAgent,RandomAgent,red,checkmate,17,2805
random_vs_medium,1,RandomAgent,MediumAgent,draw,stalemate,94,11637
medium_vs_random,2,MediumAgent,RandomAgent,draw,max_turns_reached,140,13554
random_vs_medium,2,RandomAgent,MediumAgent,draw,max_turns_reached,140,21421
medium_vs_random,3,MediumAgent,RandomAgent,draw,stalemate,63,9771
random_vs_medium,3,RandomAgent,MediumAgent,draw,max_turns_reached,140,14080
hard_vs_random,1,HardAgent,RandomAgent,red,checkmate,39,32265
random_vs_hard,1,RandomAgent,HardAgent,draw,max_turns_reached,140,101823
hard_vs_random,2,HardAgent,RandomAgent,draw,stalemate,71,27340
random_vs_hard,2,RandomAgent,HardAgent,draw,max_turns_reached,140,92583
hard_vs_random,3,HardAgent,RandomAgent,draw,max_turns_reached,140,62832
random_vs_hard,3,RandomAgent,HardAgent,draw,max_turns_reached,140,100526
